file_name,precision,recall,f1,hom,com,vm,ARI
my_train_3clusters_3add_words_0.1temp,0.29544,0.37240,0.32949,0.28368,0.37378,0.32256,0.20171
train_16clusters_10epochs,0.32610,0.43697,0.37348,0.34631,0.45125,0.39187,0.21594
NR_add_15clusters_index3,0.33878,0.41700,0.37384,0.35233,0.45892,0.39862,0.21156
batch_train_3clusters_3add_words_0.02temp,0.32223,0.40900,0.36047,0.33616,0.43623,0.37971,0.21667
NR_add_3clusters_index2,0.34670,0.41954,0.37965,0.35489,0.45812,0.39995,0.24498
re_span_and_hie_cluster_15clusters_index1,0.29929,0.42136,0.34999,0.30275,0.41772,0.35106,0.10203
only_type_15clusters_3add_words_0.02temp,0.28136,0.33713,0.30673,0.27653,0.35702,0.31166,0.17186
NR_add_15clusters_index2,0.33962,0.39676,0.36597,0.33958,0.43705,0.38220,0.23062
"re_span_little2_2,4,6,10,16,100clusters_index2",0.32877,0.37545,0.35056,0.32912,0.42360,0.37043,0.21683
lr_only_type_12clusters_0add_words_7.5e-06lr,0.26001,0.31415,0.28453,0.25012,0.32382,0.28224,0.13165
batch_train_3clusters_3add_words_0.04temp,0.30783,0.37325,0.33740,0.30953,0.39945,0.34879,0.20306
add_relation_3clusters_index2,0.35787,0.43832,0.39403,0.37043,0.48113,0.41859,0.25081
"add_relation2_10,20,30clusters_index2",0.36272,0.43245,0.39453,0.36673,0.47432,0.41365,0.23812
batch_train_3clusters_3add_words_0.03temp,0.29932,0.37678,0.33361,0.29882,0.39310,0.33954,0.19940
"add_relation2_10,35,60clusters_index1",0.35483,0.42690,0.38755,0.36129,0.46460,0.40649,0.24540
"add_relation2_10,20,30clusters_index1",0.34395,0.41868,0.37765,0.35803,0.46255,0.40363,0.24029
batch_train_3clusters_3add_words_0.05temp,0.32237,0.36210,0.34108,0.32334,0.41525,0.36357,0.20242
add_relation_7clusters_index1,0.32953,0.40148,0.36196,0.34615,0.44845,0.39072,0.20801
add_relation_8clusters_index2,0.34032,0.42925,0.37965,0.35704,0.46516,0.40399,0.23531
"re_span_little2_2,4,6,10clusters_index1",0.35030,0.41718,0.38082,0.35242,0.45681,0.39788,0.22989
NR_add_3clusters_index1,0.35642,0.45160,0.39841,0.36867,0.47847,0.41646,0.28064
"add_relation2_10,16,100clusters_index2",0.33065,0.40992,0.36604,0.33761,0.43905,0.38170,0.23414
add_relation_6clusters_index1,0.36074,0.44084,0.39679,0.37096,0.47656,0.41718,0.26030
only_type_12clusters_0add_words_0.03temp,0.26702,0.33883,0.29867,0.25686,0.33777,0.29181,0.15897
"re_span_and_hie_cluster2_clusters10,16,100_index2",0.32206,0.41338,0.36205,0.31828,0.42554,0.36418,0.14917
only_type_12clusters_0add_words_0.04temp,0.26114,0.33493,0.29347,0.25131,0.33090,0.28567,0.15376
only_type_12clusters_0add_words_0.1temp,0.25952,0.32362,0.28805,0.24853,0.32620,0.28211,0.13567
TACRED_3add_words_index1_temp0.002,0.65812,0.16033,0.25785,0.01001,0.00516,0.00681,0.02073
compare_3clusters_1add_words_3epochs,0.30891,0.40136,0.34912,0.32511,0.42104,0.36691,0.20749
add_relation_2clusters_index2,0.34990,0.44713,0.39258,0.36883,0.47768,0.41626,0.28909
"add_relation2_10,100clusters_index2",0.36080,0.44126,0.39699,0.37808,0.48753,0.42589,0.25321
train_3clusters_2add_words_3epochs,0.31628,0.41258,0.35807,0.31384,0.41743,0.35830,0.21064
add_relation_5clusters_index2,0.35389,0.43652,0.39088,0.36605,0.47520,0.41354,0.24843
hierarchical_cluster_15clusters_completelinkage,0.32041,0.41797,0.36274,0.32273,0.42696,0.36760,0.20861
NR_add_3clusters_index3,0.35763,0.44145,0.39515,0.37179,0.48256,0.41999,0.25453
re_span_hie_cluster_2clusters_index1,0.28036,0.37368,0.32036,0.29928,0.38727,0.33764,0.16310
NR_add_3add_words_index0_temp0.02,0.34348,0.43098,0.38229,0.35696,0.46434,0.40363,0.24328
re_span_and_hie_cluster2_clusters10_index2,0.28699,0.37638,0.32566,0.30504,0.40207,0.34690,0.17358
only_type_12clusters_0add_words_1.0temp,0.25313,0.29604,0.27291,0.23164,0.30420,0.26301,0.11676
